label,Astro,Endo,Micro,Neuro-Ex,Neuro-In,Oligo,OPC
66,0.4864423600409251,0.5259902860243935,0.5039059787698588,0.4923316651208565,0.48404489063869643,0.5533890632419035,0.47483521216985575
67,0.4747141828499854,0.488419258386637,0.4828217339141609,0.5346407721604104,0.5193681830178699,0.4955761262772515,0.4824549966287094
68,0.4603436705213861,0.49635552364160745,0.49004078279628555,0.5166373008616932,0.5018449954021182,0.5013113296108785,0.45977949335676527
69,0.5165961205323855,0.520729911036679,0.5001890880315105,0.5434922572809814,0.527425617719675,0.48396855425256613,0.47597343687133764
70,0.49924419838189926,0.49790605146803535,0.4977310626045974,0.5271999627019032,0.5198180917889286,0.5064059339492109,0.48632503089665735
71,0.499190784343482,0.4558196697856831,0.47537438891170847,0.5207468565064981,0.5101821584990441,0.48353882046551505,0.4748290724089235
72,0.4808835109266757,0.5381381954900472,0.5179375849146781,0.5197663936644978,0.5024171819007698,0.5565210525823256,0.49466888495552225
73,0.5045553790679331,0.5219595758287733,0.4884715138351043,0.511800175837133,0.49889713544138586,0.5379551871902539,0.503228707378703
74,0.4611871913559805,0.4684774368641901,0.47538338365049526,0.5554376012569029,0.5320227397197735,0.47320066138970995,0.4721038653438603
75,0.4476084053844075,0.47930547435254856,0.4941892817417273,0.5151519203420326,0.5002969686501649,0.5013618216874008,0.47650135111181574
76,0.49686908929581336,0.5014074978296875,0.5144766210355348,0.5127210989642523,0.5082600732016821,0.5183608949258178,0.5278698513918638
77,0.5146675505300266,0.5265374065552753,0.48719232921069155,0.5319016451985235,0.5300670640716345,0.5264024485346546,0.49915562787949097
78,0.5228860649525556,0.5008768473584533,0.4970817965090682,0.524323454765222,0.5183212123743259,0.4870326482654594,0.5162126996518402
79,0.5190624326397095,0.49209099324239824,0.5125085633336888,0.5286953428243244,0.5198938904356749,0.48035798888010295,0.5185172106134806
80,0.5829797856087167,0.4952430137895281,0.5334685776374958,0.49219149302583315,0.4997711286300515,0.497926419597798,0.5520159460441846
81,0.5232722251449233,0.5022704736855983,0.5105577572118852,0.5392008152363453,0.5139348827584462,0.4795276400881212,0.4879631243742858
82,0.46833824030710774,0.4719845832501728,0.4780446373588364,0.548975281852425,0.5344476338962038,0.456195664352162,0.47865964028329233
83,0.5186808665917239,0.49963867714924126,0.49997904143152166,0.543620178780511,0.5289042732855027,0.5309940297216122,0.5190124345335227
84,0.4932481952982338,0.5333172614758318,0.5098885096691582,0.5582355544498646,0.5321151318530264,0.5210932382754416,0.49037456102206506
85,0.5136316454849312,0.5020109208283587,0.4824666063319929,0.5328704079721285,0.5095841381984305,0.48906031383047854,0.48826226674690637
86,0.46136019489808555,0.5490904102795241,0.5090740324686917,0.5380889291272141,0.5163540142878524,0.4493397930098393,0.4687509046673055
87,0.517165073364388,0.5371329561917755,0.4985154628448958,0.5360040226599004,0.5349274064931606,0.4688804248314895,0.49810045431581196
88,0.5802002715841567,0.514698128695028,0.5165368590610462,0.47026756069433767,0.4869240718328922,0.5224599231972882,0.5511471648548104
89,0.5231525192433826,0.49676007122873855,0.4737519182979002,0.5128833950013097,0.5176318058256263,0.4996032314242373,0.4984248903083583
90,0.4686894451409551,0.48171622694578,0.4711917109620568,0.5384830491202918,0.5132632524136701,0.41870457362502844,0.4449842005753796
91,0.5097872673894999,0.4786223819661493,0.48256143165511844,0.5255403559625337,0.5081571481013648,0.49926448320656736,0.5095734824160776
92,0.5298210249143565,0.4700047669828078,0.5122961847926164,0.5205371319846595,0.5116266221156108,0.4760957359167689,0.5287660424327459
93,0.47928584646284766,0.4930707437261556,0.47750808692945435,0.5179601160848786,0.5005061485084538,0.5411852837580591,0.48432281976710323
94,0.49154466670662167,0.5220957144965118,0.5125056474413683,0.5066208670533351,0.5062653462846386,0.5604929577727706,0.5229904902798653
95,0.44352080353315737,0.5040110876150273,0.5117908965733576,0.5525440240582705,0.5206106747317457,0.4965981481611132,0.4679673819196503
96,0.556155259493832,0.5104549459797333,0.5128634110874076,0.5321622525767639,0.52902506273963,0.44693755038550914,0.5377456172278198
97,0.5381954055132666,0.5178824992791095,0.5101551012146549,0.5091869646347147,0.5049941834479901,0.5373753802436361,0.5242294429914092
98,0.5028144567678944,0.5130641150078369,0.5039563185428199,0.5350443299924974,0.5181014371857773,0.5338280139525231,0.5115888496684344
99,0.5002762300363955,0.5147700728564143,0.4790262022667766,0.48559942703167114,0.48523321579001893,0.5359649666551417,0.49732779552984446
100,0.507657489205194,0.5213054282634031,0.46172655463669643,0.5221865390077522,0.5256303930976213,0.4339828031067611,0.47529635954409194
